@relation mail

@attribute time real
@attribute html real
@attribute text real
@attribute nonmultipart real
@attribute multipart_text real
@attribute multipart_nontext real
@attribute url real
@attribute urlper real
@attribute spam_word real
@attribute spam_f real
@attribute nonspam real
@attribute spam real

@data
1230735600,1,5,3,3,0,21,0.35347648,0.06539085,13.35888234,2,4
1230822000,0,7,1,6,0,19,0.33842754,0.06629072,12.04246775,1,6
1230908400,1,8,2,7,0,31,0.53639067,0.11840737,16.74767154,1,8
1230994800,0,6,1,5,0,16,0.21693789,0.05858025,12.26275314,1,5
1231081200,0,7,1,6,0,23,0.24121483,0.04886615,11.36315475,1,6
1231167600,0,10,3,7,0,38,0.55621986,0.07467235,18.79680423,3,7
1231254000,0,12,6,6,0,100,0.72545002,0.08605733,23.90361445,6,6
1231340400,0,11,3,8,0,51,0.79189871,0.08418996,19.30761343,3,8
1231426800,2,9,4,7,0,483,0.83994483,0.08480301,32.86251389,6,5
1231513200,0,11,4,7,0,43,0.5253332,0.10079349,21.93352132,4,7
1231599600,0,3,1,2,0,10,0.23585298,0.08630377,7.41442365,1,2
1231686000,0,7,5,2,0,19,0.48121461,0.04742191,6.15807913,2,5
1231772400,0,6,2,4,0,22,0.29609753,0.04357254,13.25420832,1,5
1231858800,1,8,6,3,0,72,0.48500968,0.05799187,15.66649577,5,4
1231945200,3,10,6,7,0,524,1.52730098,0.08296522,29.48893446,8,5
1232031600,0,5,4,1,0,34,0.3284232,0.03815132,9.0491327,3,2
1232118000,1,6,4,3,0,185,0.89022794,0.05407648,12.66863197,5,2
1232204400,1,8,2,7,0,83,0.73352448,0.09029394,13.63445271,2,7
1232290800,0,6,1,5,0,18,0.28878047,0.05480129,10.27129795,1,5
1232377200,0,9,4,5,0,44,0.4436381,0.04456492,11.99760746,4,5
1232463600,1,12,6,7,0,59,0.69857047,0.10241034,17.32897548,6,7
1232550000,2,4,3,3,0,360,0.93874407,0.04199426,8.23071008,4,2
1232636400,3,5,2,6,0,249,0.50685039,0.04961809,10.50414424,5,3
1232722800,1,8,3,6,0,144,0.88548926,0.10191369,24.99119883,5,4
1232809200,0,7,1,6,0,18,0.2874208,0.0830144,12.41442365,1,6
1232895600,0,4,1,3,0,10,0.15907356,0.04051905,9.51482526,1,3
1232982000,0,8,3,5,0,27,0.4206581,0.08818491,16.01256089,3,5
1233068400,1,8,5,4,0,73,0.54401187,0.07105042,14.54473212,5,4
1233154800,0,11,7,4,0,136,1.19282812,0.11537498,29.53165856,7,4
1233241200,1,5,3,3,0,149,0.46050411,0.05080804,13.7305819,4,2
1233327600,1,7,5,3,0,170,1.08799719,0.0799042,13.15380671,6,2
