@relation mail

@attribute IP real
@attribute TIME real
@attribute Message-ID real
@attribute Subject real
@attribute From real
@attribute text_type {HTML, text}
@attribute multipart {non-multipart, multipart_text, multipart_non-text}
@attribute url real
@attribute url_per real
@attribute spam_word_per real
@attribute spam_f real
@attribute spam {non-spam, spam}

@data
40122,1199625735,3,20516,31086,text,non-multipart,2,0.06931702,0.40366972,17.09344988,spam
40780,1200988579,0,22235,31086,text,non-multipart,2,0.07904412,0.28125000,12.47454039,spam
40778,1202651529,3,21614,31086,text,non-multipart,4,0.04087425,0.16264547,29.84238172,spam
40971,1202747149,3,21614,31086,text,non-multipart,4,0.04087425,0.16264547,29.84238172,spam
40666,1204099099,3,21614,31086,text,non-multipart,4,0.04143885,0.16230216,28.84238172,spam
40277,1206291269,6,20418,31086,text,non-multipart,5,0.03294393,0.16401869,32.84567441,spam
40469,1206449579,3,20418,31086,text,non-multipart,5,0.03294393,0.16401869,32.84567441,spam
40969,1207425785,3,20417,31086,text,non-multipart,4,0.04645622,0.13758189,24.16706519,spam
40798,1208579273,0,20417,31086,text,non-multipart,4,0.04645622,0.13758189,24.16706519,spam
40667,1209080356,3,20417,31086,text,non-multipart,4,0.04645622,0.13758189,24.16706519,spam
41543,1212976501,0,22059,30182,text,multipart_text,1,0.00679769,0.09841880,26.98878915,spam
40090,1214800681,0,20702,30446,text,non-multipart,10,0.08239921,0.08318584,12.95127592,non-spam
40052,1215023542,0,20901,30449,text,non-multipart,5,0.09069401,0.10883281,6.04641135,non-spam
41860,1223159393,14,21138,30707,text,non-multipart,12,0.06660252,0.09685696,25.48312493,non-spam
41898,1228057200,18,20325,30959,text,non-multipart,7,0.04792766,0.16367747,32.37666105,non-spam
41552,1228100144,4,21962,30437,text,multipart_text,2,0.01802680,0.13447016,17.65904904,spam
40418,1228100586,0,22378,30453,text,multipart_text,1,0.02105978,0.14470109,9.49174866,spam
41903,1228101707,8,22382,30886,text,non-multipart,24,0.07388921,0.05963647,64.36286308,non-spam
40861,1228103085,8,21818,30140,text,multipart_text,1,0.02089060,0.15173172,10.58410098,spam
40090,1228143600,0,20018,30446,text,non-multipart,10,0.10250517,0.05860722,6.76810004,non-spam
40044,1228143600,0,20894,30449,text,non-multipart,5,0.09005482,0.10454190,6.49327741,non-spam
41928,1228181400,12,20181,30106,text,non-multipart,13,0.03840089,0.05398386,19.64054721,non-spam
41900,1228183007,0,20367,30392,text,non-multipart,2,0.06661992,0.00000000,0.00000000,non-spam
41451,1228185812,0,21427,30098,text,multipart_text,3,0.01685393,0.09520194,28.59158794,spam
41896,1228187523,17,21803,30920,text,non-multipart,16,0.03628875,0.09834697,49.60844342,non-spam
41901,1228215759,11,21394,30394,text,non-multipart,26,0.10225149,0.09824686,34.29305006,non-spam
40052,1228230000,0,20657,30448,text,non-multipart,4,0.07793308,0.13087675,9.48414409,non-spam
40048,1228230000,0,22121,30448,text,non-multipart,7,0.11426544,0.12029808,9.70169731,non-spam
41902,1228234877,19,22382,30363,text,non-multipart,17,0.05369128,0.09001184,29.58962800,non-spam
41918,1228238773,15,21156,30791,text,non-multipart,26,0.08005579,0.12238494,51.77002078,non-spam
40082,1228276447,0,21598,30537,text,non-multipart,29,0.26771401,0.04953511,8.31602054,non-spam
41852,1228277772,12,22382,30290,HTML,non-multipart,48,0.28726287,0.06504065,26.05934695,non-spam
41550,1228285516,4,21551,30071,text,multipart_text,1,0.01552941,0.11858824,10.52334287,spam
41903,1228294857,8,22382,30886,text,non-multipart,30,0.09317972,0.06037769,65.51334718,non-spam
40373,1228295007,0,22116,30011,text,multipart_text,1,0.02640545,0.16098807,6.83516914,spam
40058,1228300442,0,22125,30448,text,non-multipart,9,0.11852276,0.09018036,9.60370036,non-spam
41859,1228316400,14,21554,30707,text,non-multipart,12,0.06692448,0.09635836,25.11857630,non-spam
40040,1228354200,0,20282,30214,HTML,multipart_text,110,0.11176521,0.02725877,29.15605033,non-spam
40477,1228358187,3,20413,30564,text,non-multipart,2,0.06276151,0.22280335,8.16138136,spam
41903,1228368303,8,22382,30886,text,non-multipart,18,0.07574244,0.07218514,52.66355690,non-spam
40048,1228375955,0,20898,30449,text,non-multipart,5,0.09005482,0.10454190,6.49327741,non-spam
41913,1228394708,14,21554,30707,text,non-multipart,12,0.06631187,0.09611495,25.30281055,non-spam
40009,1228438716,16,20936,30953,text,non-multipart,3,0.02395577,0.07002457,8.40813767,non-spam
40089,1228440600,3,21492,30824,text,non-multipart,5,0.09846154,0.17723077,8.69036886,non-spam
41898,1228446386,18,20012,30959,text,non-multipart,4,0.06239267,0.14939897,15.69127043,non-spam
40051,1228451451,0,22133,30448,text,non-multipart,4,0.09919137,0.12938005,7.46736702,non-spam
41049,1228470142,4,22378,30664,text,multipart_text,1,0.02105978,0.14470109,9.49174866,spam
41883,1228507391,0,20335,30535,text,non-multipart,0,0.00000000,0.00000000,0.00000000,non-spam
40052,1228523925,0,22122,30448,text,non-multipart,6,0.11088791,0.13258337,11.20105053,non-spam
41317,1228535236,4,21552,30343,text,multipart_text,2,0.02920317,0.14518148,20.53514170,spam
41504,1228549912,0,22348,30734,text,non-multipart,4,0.08916409,0.31207430,20.32672181,spam
41506,1228575600,0,20485,30033,HTML,multipart_text,2,0.01188791,0.00000000,0.00000000,spam
40061,1228621405,3,20610,30872,text,non-multipart,12,0.10189944,0.07743017,19.67190624,non-spam
40050,1228662000,0,20897,30449,text,non-multipart,5,0.09259259,0.11352657,6.52071655,non-spam
40366,1228701569,4,21912,30648,text,multipart_text,4,0.03280270,0.07670043,10.35239701,spam
